José Ortega y Gasset visited Husserl at Freiburg in 1934 .	1934 besuchte José Ortega y Gasset Husserl in Freiburg .	José Ortega y Gasset besuchte Husserl in Freiburg im Jahr 1934 .	0.33
after Sonny outs Claudia at the party , she takes a laboring Carly hostage at gunpoint .	nach Sonny outs Claudia auf der Party , nimmt sie eine arbeitende Carly Geisel mit Schusswaffe .	nachdem Sonny Claudia auf der Party aus dem Weg geräumt hat , nimmt sie die schwangere Carly mit vorgehaltener Waffe als Geisel .	0.57
so claimants petitioned the King to sidestep the common law courts .	so Kläger bat den König , die Common Law Gerichte zu umgehen .	die Antragsteller forderten den König auf , die Gerichte des Common Law zu umgehen .	0.40
Maria sings " The Lonely Goatherd " to distract them .	Maria singt " The Lonely Goatherd " , um sie abzulenken .	Maria singt " The Lonely Goatherd " , um sie abzulenken .	0.00
armed with a Kryptonite shard , Atom proceeds to knock out Superman using the shard .	mit einem Kryptonit-Splitter bewaffnet , schlägt Atom Superman mit dem Splitter aus .	mit einem Kryptonit-Splitter bewaffnet , schlägt Atom Superman mit dem Splitter K.O ..	0.15
his third single , " I Wanna Rock " , peaked at No.41 on the Billboard Hot 100 .	seine dritte Single " I Wanna Rock " erreichte Platz 41 auf dem Billboard Hot 100 .	seine dritte Single " I Wanna Rock " erreichte Platz 41 der Billboard Hot 100 .	0.12
on nightfall the Pathans ran away from the mountain .	bei Einbruch der Dunkelheit rannten die Pathans vom Berg weg .	bei Einbruch der Dunkelheit rissen die Pathans vom Berg aus .	0.18
Vernor 's ginger ale and Faygo pop also originate in Michigan .	Vernor ' s Ingwer Ale und Faygo Pop stammen ebenfalls aus Michigan .	Vernor ' s Ginger Ale und Faygo Pop stammen ebenfalls aus Michigan .	0.08
Pyotr gathers conspirators such as the philosophising Shigalyov , the suicidal Kirillov and the former military man Virginsky .	Pjotr versammelt Verschwörer wie die Philosophen Shigalyov , den Selbstmörder Kirillow und den ehemaligen Militärmann Virginsky .	Pjotr versammelt Verschwörer wie den Philosoph Shigalyov , den Selbstmörder Kirillov und den ehemaligen Militärs Virginsky .	0.24
Jackson 's peculiar personal traits contributed to his unpopularity as an educator .	Jacksons eigenartige persönliche Eigenschaften trugen zu seiner Unbeliebtheit als Erzieher bei .	Jacksons eigenartige persönliche Merkmale trugen zu seiner Unbeliebtheit als Pädagoge bei .	0.17
in Eupompha , the male draws his antennae along his longitudinal vertex .	in Eupompha zeichnet das Männchen seine Antennen entlang seines Längsscheitels .	in Eupompha zieht das Männchen seine Antennen entlang seines Längsscheitelpunkts .	0.18
Cass attacked Amore , resulting in Big Show retaliating .	Cass angegriffen Amore , was zu Big Show Vergeltung .	Cass griff Amore an , was zur Big Show Vergeltung führte .	0.33
on 10 October Hailsham announced his intention to renounce his Viscountcy .	am 10. Oktober kündigte Hailsham seine Absicht an , auf seine Viscountcy zu verzichten .	am 10. Oktober kündigte Hailsham seine Absicht an , auf sein Viscountcy zu verzichten .	0.07
the subducting plates pulled Japan eastward , opening the Sea of Japan around 15 million years ago .	die Subduktionsplatten zogen Japan nach Osten und öffneten das japanische Meer vor etwa 15 Millionen Jahren .	die Subduktionsplatten zogen Japan nach Osten und eröffneten das Japanische Meer vor etwa 15 Millionen Jahren .	0.12
Diodorus also mentions Myrina as a queen of the Amazons .	Diodorus erwähnt Myrina auch als Königin der Amazonen .	Diodorus erwähnt Myrina auch als eine Königin der Amazonen .	0.10
on July 2 , 2007 , President Bush commuted the sentence .	am 2. Juli 2007 änderte Präsident Bush das Urteil .	am 2. Juli 2007 wandelte Präsident Bush das Urteil um .	0.18
some of the more well known and distinctive bird species in New Zealand are the kiwi , kea , Takahe , kakapo , mohua , tui and the bellbird .	einige der bekanntesten und markantesten Vogelarten Neuseelands sind die Kiwi , Kea , Takahe , Kakapo , Mohua , Tui und der Glockenvogel .	einige der bekanntesten und charakteristischsten Vogelarten in Neuseeland sind der Kiwi , Kea , Takahe , Kakapo , Mohua , Tui und der Glockenvogel .	0.16
these two psychological types Jung compares to ancient archetypes , Apollo and Dionysus .	diese beiden psychologischen Typen Jung vergleicht mit alten Archetypen , Apollo und Dionysos .	diese beiden psychologischen Typen vergleicht Jung mit den alten Archetypen Apollo und Dionysos .	0.21
the entrepôt of Ayutthaya hosted significant communities of Bengalis , Arabs and Persians .	das entrepôt von Ayutthaya beherbergte bedeutende Gemeinschaften von Bengalis , Arabern und Persern .	das Entrepôt von Ayutthaya beherbergte bedeutende Gemeinschaften von Bengalen , Arabern und Persern .	0.14
when Murad tried to relieve Sana 'a , highland tribesmen ambushed his unit and slaughtered all of them .	als Murad versuchte , Sanaa zu entlasten , überfielen Landstämme seine Einheit und schlachteten sie alle .	als Murad versuchte , Sana ' a zu befreien , überfielen Stammesleute aus dem Hochland seine Einheit und metzelten sie alle nieder .	0.43
Tavella also dismisses complaints about the reliance on assumption of risk .	Tavella lehnt auch Beschwerden über die Abhängigkeit von Risikoübernahme ab .	Tavella weist auch Beschwerden über das Vertrauen in die Übernahme von Risiken zurück .	0.50
Mick Coughlan 's inspirational catches epitomized the superiority of the defence .	Mick Coughlans inspirierende Fänge verkörpern die Überlegenheit der Verteidigung .	Mick Coughlans inspirierende Fänge zeugen von der Überlegenheit der Verteidigung .	0.27
in the Renaissance , the brilliant red costumes for the nobility and wealthy were dyed with kermes and cochineal .	in der Renaissance wurden die brillanten roten Kostüme für Adel und Reiche mit Kermen und Kokineal gefärbt .	in der Renaissance wurden die leuchtend roten Kostüme für Adlige und Reiche mit Kermes und Cochineal gefärbt .	0.22
the numerous nude sunbathers , and the long tradition , make it safe for nudism and naturism .	die zahlreichen nackten Sonnenbäder und die lange Tradition machen es sicher für Nudismus und FKK .	die zahlreichen nackten Sonnenanbeter und die lange Tradition machen es sicher für Nudismus und Naturismus .	0.12
/ / Instantiating ' elaborate ' will automatically instantiate the correct way to operate .	/ / Die ' aufwendige ' Methode wird automatisch die richtige Arbeitsweise instanziieren .	/ / Durch die Instantiierung von ' elaborate ' wird automatisch die korrekte Funktionsweise instanziiert .	0.56
the referee stopped the fight with Camacho teeing off on a defenseless Leonard on the ropes .	der Schiedsrichter stoppte den Kampf mit Camacho Abspaltung auf einem wehrlosen Leonard an den Seilen .	der Schiedsrichter beendete den Kampf als Camacho auf einen wehrlosen Leonard an den Seilen einschlug .	0.31
the Goncourt brothers judged the novel artificial and disappointing .	die Goncourt Brüder beurteilt den Roman künstlich und enttäuschend .	die Brüder Goncourt verurteilten den Roman als künstlich und enttäuschend .	0.27
this motion would cause the gyros to precess , and this signal would drive the PDI automatically .	diese Bewegung würde dazu führen , dass die Gyros präzise sind , und dieses Signal würde den PDI automatisch antreiben .	diese Bewegung würde dazu führen , dass der Kreisel fährt , und dieses Signal würde den PDI automatisch ansteuern .	0.25
the Confederates , under Maj. Gen. William Mahone , gathered as many troops together as they could for a counterattack .	unter General William Mahone versammelten die Konföderierten so viele Truppen wie möglich zu einem Gegenangriff .	die Konföderierten versammelten unter Generalmajor William Mahone so viele Truppen wie möglich für einen Gegenangriff .	0.31
moreover , he reproached his Roman soldiers for treachery .	darüber hinaus warf er seinen römischen Soldaten Verrat vor .	außerdem warf er seinen römischen Soldaten Verrat vor .	0.22
the occupiers in the cattle pen retreated into the horse corral .	die Besatzer im Rinderstift zogen sich in die Pferdekorral zurück .	die Besatzer im Viehstall zogen sich in den Pferdehof zurück .	0.27
this led to them feuding with Christian Cage and Rhino as well .	dies führte zu Fehden mit Christian Cage und Rhino .	dies führte zu Fehden mit Christian Cage und Rhino .	0.00
he characterized it as guessing and as inference to an explanatory hypothesis .	er bezeichnete es als Raten und als Rücksicht auf eine erklärende Hypothese .	er charakterisierte es als Vermutung und als Folgerung für eine erklärende Hypothese .	0.31
Alejandrino immediately turned back and rejoined Gen. Tinio .	Alejandrino kehrte sofort um und trat Gen. Tinio wieder bei .	Alejandrino drehte sich sofort um und kehrte zu General Tinio zurück .	0.58
Muhammad in response attacked Bukka 's army and vowed to not sheathe his sword until he avenged the massacre by killing 100,000 Hindus .	Muhammad griff daraufhin Bukkas Armee an und schwor , sein Schwert nicht zu verschleiern , bis er das Massaker durch die Tötung von 100.000 Hindus rächte .	daraufhin griff Muhammad Bukkas Armee an und schwor , sein Schwert werde nicht ruhen , ehe er das Massaker mit der Tötung von 100,000 Hindus gerächt habe .	0.39
reticulated twins , common in rutile , are interlocking crystals resembling netting .	retikulierte Zwillinge , die in Rutil häufig vorkommen , verflechten Kristalle , die einem Netz ähneln .	retikulierte Zwillinge , die häufig in Rutil vorkommen , sind ineinandergreifende Kristalle , die einem Netz ähneln .	0.17
Sarit and his successors deified the throne and relied on royal sponsorship to legitimize their dictatorship .	Sarit und seine Nachfolger götterten den Thron und setzten auf königliche Patenschaft , um ihre Diktatur zu legitimieren .	Sarit und seine Nachfolger vergöttlichten den Thron und waren auf königliche Unterstützung angewiesen , um ihre Diktatur zu legitimieren .	0.20
assisting Sukarno as supreme commander of ABRI , would be an ABRI chief of staff .	Sukarno als Oberbefehlshaber von ABRI zu unterstützen , wäre ein Stabschef von ABRI .	Sukarno als Oberbefehlshaber von ABRI zu unterstützen , wäre ein Stabschef von ABRI .	0.00
" state 's Professional Aides Vote to Retain Association . "	" die Berufsberater des Staates stimmen für die Retain Association " .	" die professionellen Berater des Staates stimmen für die Beibehaltung der Vereinigung . "	0.43
steamers ran up the Ocklawaha River to Eustis , Leesburg and Silver Springs , or the St. Johns River to Enterprise and Sanford .	Dampfer liefen den Ocklawaha River hinauf nach Eustis , Leesburg und Silver Springs oder den St. Johns River nach Enterprise und Sanford .	Dampfer liefen den Ocklawaha River hinauf nach Eustis , Leesburg und Silver Springs oder den St. Johns River nach Enterprise und Sanford .	0.00
attributed to " Semaphore to Satellite " , International Telecommunication Union , Geneva 1965 .	zugeschrieben " Semaphore to Satellite " , Internationale Telekommunikationsunion , Genf 1965 .	" Semaphore to Satellite " zugeschrieben , International Telecommunication Union , Genf 1965 .	0.29
experience gained against enemies such as the Zulus or Sudanese proved irrelevant against the Boers .	Erfahrungen gegen Feinde wie Zulus oder Sudanesen erwiesen sich gegen die Buren als irrelevant .	die gegen Feinde , wie die Zulus oder Sudanesen gesammelten Erfahrungen , spielten für die Buren keine Rolle .	0.53
later the Master of the Legend of Saint Lucy explored the same mix of illusionism and realism .	später erforschte der Meister der Legende von Saint Lucy die gleiche Mischung aus Illusionismus und Realismus .	später erkundete der Meister der Legende der Heiligen Lucia die gleiche Mischung aus Illusionismus und Realismus .	0.24
the Pesikta Rabbati taught that Joseph guarded himself against lechery and murder .	die Pesikta Rabbati lehrten , dass Joseph sich vor Lecks und Morden bewahrte .	die Pesikta Rabbati lehrten , dass Joseph sich vor Unzüchtigkeit und Mord schützte .	0.21
nobody can proclaim himself a , Sadguru by dint of his vast erudition or knowledge of scriptures .	niemand kann sich selbst a , Sadguru durch DINT seiner umfangreichen Gelehrsamkeit oder Kenntnis der Schriften verkünden .	niemand kann sich selbst aufgrund seiner weitreichenden Gelehrsamkeit oder Kenntnis der heiligen Schriften als Sadguru bezeichnen .	0.53
the attack of the 1st and 2nd Estonian Regiments commanded by Standartenführer Paul Vent liquidated the Siivertsi Bridgehead by March 6 .	der Angriff des 1. und 2. estnischen Regiments unter der Führung von Standartenführer Paul Vent liquidierte den Siivertsi Brückenkopf bis zum 6. März .	der Angriff des 1. und 2. estnischen Regiments unter dem Kommando des Standartenführers Paul Vent liquidierte den Siivertsi-Brückenkopf bis am 6. März .	0.30
alternative viewpoints According to the Russian demographer Dr. L.L .	Alternative Standpunkte Nach Angaben des russischen Demographen Dr. L.L .	Alternative Sichtweisen Laut dem russischen Demographen Dr. LL	0.75
thereafter Cymry prevailed as a reference to the Welsh .	danach setzte sich Cymry als Bezugnahme auf die Waliser durch .	danach setzte sich Cymry als Referenz für die Waliser durch .	0.18
planar NIMs with periodic loaded transmission lines	planare NIMs mit periodisch belasteten Übertragungsleitungen	planare NIMs mit periodisch belasteten Übertragungsleitungen	0.00
the latter left a corrosive record of their first encounter , dismissing Ralea as a " clown " with " aristocratic manias " .	letztere hinterließen einen korrosiven Rekord ihrer ersten Begegnung , indem sie Ralea als " Clown " mit " aristokratischen Manias " abwiesen .	letztere hinterließen eine ätzende Aufzeichnung ihrer ersten Begegnung und wiesen Ralea als " Clown " mit " aristokratischen Manien " ab .	0.36
many circulating libraries were attached to the shops of milliners or drapers .	viele zirkulierende Bibliotheken wurden an die Geschäfte von Mühlern oder Drappern angeschlossen .	viele umlaufende Bibliotheken waren an die Läden der Modistinnen oder Vorhänge angeschlossen .	0.46
the Portuguese sought confirmation that they could enslave infidels in a crusade .	die Portugiesen suchten die Bestätigung , dass sie Ungläubige in einem Kreuzzug versklaven konnten .	die Portugiesen suchten nach Bestätigung , dass sie Ungläubige in einem Kreuzzug versklaven könnten .	0.13
on 8 December , the warship headed back to the Far East .	am 8. Dezember kehrte das Kriegsschiff in den Fernen Osten zurück .	am 8. Dezember kehrte das Kriegsschiff nach Fernost zurück .	0.40
the Arizona Attorney General , Mark Brnovich filed a lawsuit in late 2017 against ABOR due to tuition practices and DACA .	die Arizona Attorney General , Mark Brnovich reichte eine Klage Ende 2017 gegen ABOR aufgrund von Studienpraktiken und DACA .	der Generalstaatsanwalt von Arizona , Mark Brnovich , reichte Ende 2017 eine Klage gegen ABOR wegen der Studiengebühren-Praxis und DACA ein .	0.45
on third down Rams quarterback Marc Bulger was hit by Aaron Kampman in which Bulger fumbled the bal .	auf der dritten Rams Quartier zurück Marc Bulger wurde von Aaron Kampman getroffen , in dem Bulger den bal verprügelt .	am dritten Abstieg wurde der Rams-Quarterback Marc Bulger von Aaron Kampman getroffen , in dem Bulger den Ball fingerte .	0.40
common oyster predators include crabs , seabirds , starfish , and humans .	gewöhnliche Austernfresser sind Krebse , Seevögel , Seestern und Menschen .	häufige Austernfresser sind Krabben , Seevögel , Seesterne und Menschen .	0.27
warrant for Genocide , Eyre & Spottiswoode 1967 ; Serif , 1996 .	Warrant for Genocide , Eyre & Spottiswoode 1967 ; Serif , 1996 .	Haftbefehl für Völkermord , Eyre & Spottiswoode 1967 ; Serif , 1996 .	0.23
in the Third Test , Hill batted through much of the Australian first innings to make 91 not out .	im dritten Test durchbohrte Hill einen Großteil der ersten Innings Australiens , um 91 nicht herauszuholen .	im dritten Test kämpfte sich Hill durch einen Großteil der australischen ersten Innings , um 91 nicht herauszufinden .	0.32
its exterior contained interspersed yellow Ohio sandstone and red New Jersey brownstone .	seine Außenseite enthielt durchsetzt gelb Ohio Sandstein und rot New Jersey Brownstone .	sein Äußeres enthielt eingestreuten gelben Ohio-Sandstein und roten New Jersey-Braunstein .	0.82
meanwhile , the Pacific Squadron of the U.S. Navy blockaded the Pacific coast farther south in lower Baja California Territory .	unterdessen blockierte das Pacific Squadron der US Navy die Pazifikküste weiter südlich im unteren Baja California Territory .	in der Zwischenzeit blockierte das Pacific Squadron der US-Marine die Pazifikküste weiter südlich im Territorium von Niederkalifornien .	0.50
on arriving in Oxford , Vermigli began lecturing on 1 Corinthians , denouncing Catholic doctrines of purgatory , clerical celibacy , and lenten fasting .	als Vermigli in Oxford ankam , begann er Vorlesungen über 1 Korinther zu halten und verurteilte katholische Lehren vom Fegefeuer , klerikalen Zölibat und Fastenzeit .	nach seiner Ankunft in Oxford begann Vermigli , Vorträge über den 1. Korintherbrief zu halten , in denen er die katholischen Lehren vom Fegefeuer , vom klerikalen Zölibat und vom Fasten in der Fastenzeit anprangerte .	0.61
they predicted the emergence of a stable civilization , conformist and collectivist , whose great merit was the elimination of careerism .	Sie sagten das Entstehen einer stabilen Zivilisation voraus , konformistisch und kollektivistisch , deren großes Verdienst die Beseitigung des Karrierismus war .	Sie sagten das Entstehen einer stabilen Zivilisation voraus , konformistisch und kollektivistisch , deren großer Verdienst die Beseitigung des Karrierismus war .	0.05
defeated , Cem fled to Rhodes , where the Knights Hospitaller kept him in custody .	besiegt floh Cem nach Rhodos , wo ihn der Hospitaller der Ritter in Gewahrsam hielt .	besiegt floh Cem nach Rhodos , wo der Knights Hospitaller ihn in Gewahrsam hielt .	0.27
the Thousand Autumns of Jacob de Zoet , 2010 historical novel by British author David Mitchell .	the Thousand Herumns of Jacob de Zoet , 2010 historischer Roman des britischen Autors David Mitchell .	die tausend Herbste des Jacob de Zoet , 2010 , historischer Roman des britischen Schriftstellers David Mitchell .	0.33
also , two battalions from the 20th Indian Brigade held the Ghoraniyeh bridgehead .	auch zwei Bataillone der 20. Indischen Brigade hielten den Ghoraniyeh Brückenkopf ab .	außerdem hielten zwei Bataillone der 20. indischen Brigade den Ghoraniyeh-Brückenkopf .	0.55
a single jet meter consists of a simple impeller with radial vanes , impinged upon by a single jet .	ein einzelnes Strahlmessgerät besteht aus einem einfachen Laufrad mit radialen Flügeln , auf das ein einziger Strahl aufprallt .	ein Einzelstrahlzähler besteht aus einem einfachen Laufrad mit radialen Flügeln , auf die ein einzelner Strahl auftrifft .	0.28
to appease the Hungarian nobility , Joseph II revoked almost all his reforms on his deathbed in 1790 .	um den ungarischen Adel zu beschwichtigen , hob Joseph II. 1790 fast alle Reformen auf seinem Sterbebett auf .	um den ungarischen Adel zu besänftigen , widerrief Joseph II. fast alle seine Reformen auf seinem Sterbebett 1790 .	0.26
it also helps to keep the buckle of the stirrup leather from unbuckling and sliding down .	es hilft auch , die Schnalle des Steigbügelleders vor entklemmen und heruntergleiten zu halten .	es hilft auch , die Schnalle des Steigbügelleders vor dem Abknicken und Herunterrutschen zu bewahren .	0.25
Ponting struggled , aggregating 99 runs at a modest 24.75 .	Ponting kämpfte , aggregierte 99 Läufe bei einem bescheidenen 24.75 .	Ponting kämpfte mit 99 Läufen bei bescheidenen 24,75 .	0.56
fungi in the genera Cordyceps and ophiocordyceps infect ants .	Pilze der Gattungen Cordyceps und Ophiocordyceps infizieren Ameisen .	Pilze der Gattungen Cordyceps und Ophiocordyceps infizieren Ameisen .	0.00
college presidents typically enforced strict discipline , and upperclassman enjoyed hazing freshman .	die Präsidenten des Kollegiums erzwangen in der Regel strenge Disziplin , und Oberschüler genossen hazing Neuling .	College-Präsidenten erzwangen in der Regel strenge Disziplin , und die Oberklasse genoss es , Neulinge zu schikanieren .	0.61
the seizure of the sloop Liberty in 1768 on suspicions of smuggling triggered a riot .	die Beschlagnahme der Schleuder Liberty 1768 wegen des Verdachts auf Schmuggel löste einen Aufruhr aus .	die Beschlagnahme der Schaluppe Liberty 1768 wegen Verdachts auf Schmuggel löste einen Aufruhr aus .	0.13
Hungarian and Croat light hussars led by Count Hadik raided Berlin in 1757 .	ungarische und kroatische leichte Husaren unter der Führung des Grafen Hadik überfielen 1757 Berlin .	ungarische und kroatische leichte Husaren , angeführt von Graf Hadik , überfielen Berlin in 1757 .	0.50
in early 1030 Sergius gave Ranulf the County of Aversa as a fief , the first Norman lordship in southern Italy .	Anfang 1030 gab Sergius Ranulf die Grafschaft Aversa als Lehen , die erste normannische Herrschaft in Süditalien .	Anfang 1030 gab Sergius Ranulf die Grafschaft Aversa als Lehen , die erste normannische Herrschaft in Süditalien .	0.00
going Native , Paul Gauguin and the Invention of the primitivist Modernist .	Going Native , Paul Gauguin und die Erfindung der primitivistischen Moderne .	der Einheimische Paul Gauguin und die Erfindung des primitivistischen Modernisten .	0.45
" Plymouth Rock " , a large boulder , now sits under the historic Plymouth Rock Portico .	" Plymouth Rock " , ein großer Felsblock , liegt jetzt unter dem historischen Plymouth Rock Portico .	" Plymouth Rock " , ein großer Felsbrocken , befindet sich jetzt unter dem historischen Plymouth Rock Portico .	0.16
Steven R. Nagel , 67 , American astronaut , melanoma .	Steven R. Nagel , 67 , amerikanischer Astronaut , Melanom .	Steven R. Nagel , 67 , amerikanischer Astronaut , Melanom .	0.00
as a result , the cuirass replaced the mail hauberk and full suits of armour , and only the most valuable cavalry wore more than a padded shirt .	infolgedessen ersetzte die Cuirass den Posthauberk und volle Rüstungen , und nur die wertvollste Kavallerie trug mehr als ein gepolstertes Hemd .	infolgedessen ersetzte der Kürass das Kettenhemd und die kompletten Rüstungen , und nur die wertvollsten Kavallerie trug mehr als ein gepolstertes Hemd .	0.30
Heavy rainfall fell in portions of Broward County , peaking at 11.21 in at the intersection of State Road 997 and Interstate 75 near Weston .	starker Niederschlag fiel in Teilen des Broward County und erreichte seinen Höhepunkt um 11.21 Uhr an der Kreuzung von State Road 997 und Interstate 75 in der Nähe von Weston .	in Teilen von Broward County fielen starke Niederschläge , die ihren Höhepunkt um 11.21 Uhr an der Kreuzung der State Road 997 und der Interstate 75 in der Nähe von Weston erreichten .	0.39
classical balusters form the balustrade between the arches of the arcade .	klassische Baluster bilden die Balustrade zwischen den Bögen der Arkade .	klassische Baluster bilden die Balustrade zwischen den Arkadenbögen .	0.33
Pablo González and his aide , Col. Jesús Guajardo , in an elaborate trap at Chinameca , Morelos .	Pablo González und sein Assistent , Col.Jesús Guajardo , in einer aufwendigen Falle in Chinameca , Morelos .	Pablo González und sein Adjutant Col. Jesús Guajardo in einer aufwändigen Falle in Chinameca , Morelos .	0.29
castles and fortifications of the Kingdom of Jerusalem	Burgen und Befestigungen des Königreichs Jerusalem	Burgen und Befestigungen des Königreichs Jerusalem	0.00
whenever Native Americans attempted to regroup in the forest to Wright 's left , the howitzers and cannon would rake the trees .	immer wenn Ureinwohner versuchten , sich im Wald links von Wright zu gruppieren , würden die Howitzer und Kanonen die Bäume schütteln .	wann immer Indianer versuchten , sich im Wald zu Wrights Linken zu sammeln , kratzten Haubitzen und Kanonen die Bäume .	0.52
the early gassing machinery frequently broke down due to overuse , forcing the SS to shoot Jews assembled for suffocation .	die frühen Vergasungsmaschinen brachen häufig durch Übernutzung zusammen , wodurch die SS gezwungen wurde , Juden zu erschießen , die zur Erstickung versammelt waren .	die frühen Vergasungsmaschinen fielen häufig aufgrund von Überbeanspruchung aus und zwangen die SS , wegen Erstickung versammelte Juden zu erschießen .	0.76
the deferential artery , a branch of the superior vesicle artery and the	die deferentielle Arterie , ein Zweig der oberen Vesikelarterie und die	die Arteria deferentialis , ein Zweig der Arteria vesicalis superior und der	0.50
" Orson never joked or teased about the religious beliefs of others " , wrote biographer Barton Whaley .	" Orson hat nie über den religiösen Glauben anderer gescherzt oder geärgert " , schrieb der Biograph Barton Whaley .	" Orson scherzte oder neckte nie über die religiösen Überzeugungen anderer " , schrieb der Biograf Barton Whaley .	0.42
Muslims , Sikhs , Buddhists , and Hindus live in Alberta .	Muslime , Sikhs , Buddhisten und Hindus leben in Alberta .	Muslime , Sikhs , Buddhisten und Hindus leben in Alberta .	0.00
Temeraire now resumed her previous duties blockading the French at Brest .	Temeraire nahm nun ihre früheren Aufgaben wieder auf und blockierte die Franzosen in Brest .	Temeraire nahm nun ihre früheren Aufgaben wieder auf und blockierte die Franzosen in Brest .	0.00
Andy Shiu Chi Ho , a Hong Kong teenager convicted of vandalism along with Michael Fay in March 1994 .	Andy Shiu Chi Ho , ein Teenager aus Hongkong , der zusammen mit Michael Fay im März 1994 wegen Vandalismus verurteilt wurde .	Andy Shiu Chi Ho , ein Teenager aus Hongkong , der im März 1994 zusammen mit Michael Fay wegen Vandalismus verurteilt wurde .	0.04
she retained her dowry and any settlement deeded to her by her husband .	Sie behielt ihre Mitgift und jede Siedlung wurde ihr von ihrem Mann erlassen .	Sie behielt ihre Mitgift und jede von ihrem Ehemann an sie gerichtete Abfindung .	0.43
mares signal estrus and ovulation by urination in the presence of a stallion , raising the tail and revealing the vulva .	Mares signalisieren Estrus- und Eisprung durch Wasserlassen in Gegenwart eines Hengstes , heben den Schwanz und enthüllen die Vulva .	Stuten signalisieren Östrus und Eisprung durch Wasserlassen bei Vorhandensein eines Hengstes , indem sie den Schwanz anheben und die Vulva freigeben .	0.41
he also gradually extended his investments into the prebendary holdings .	nach und nach erweiterte er auch seine Investitionen in die präbendären Betriebe .	allmählich weitete er seine Investitionen auch auf die Pfründebeteiligungen aus .	0.73
despite Bryan 's aversion to conflict , he oversaw U.S. interventions in Haiti , the Dominican Republic and Mexico .	trotz seiner Abneigung gegen den Konflikt überwachte er US-Interventionen in Haiti , der Dominikanischen Republik und Mexiko .	trotz Brians Abneigung gegen Konflikte überwachte er die US-Interventionen in Haiti , der Dominikanischen Republik und Mexiko .	0.22
she married David on September 23 , 1885 , in Lecompton , Kansas , on the campus of their alma mater , Lane University .	Sie heiratete David am 23. September 1885 in Lecompton , Kansas , auf dem Campus ihrer alma mater , Lane University .	Sie heiratete David am 23. September 1885 in Lecompton , Kansas , auf dem Campus ihrer Alma Mater , der Lane University .	0.13
Ilić walked the street , exhorting the assassins to bravery .	Ilić ging auf der Straße und ermahnte die Mörder zur Tapferkeit .	Ilić ging die Straße entlang und ermahnte die Attentäter zur Tapferkeit .	0.33
despite an exposed LLCC with disorganized banding , the JTWC started initiating advisories , assigning the designation of 12W .	trotz einer exponierten LLCC mit disorganisierter Bänderung , begann die JTWC Ankündigungen zu initiieren und wies die Bezeichnung 12W zu .	trotz eines exponierten LLCC mit unorganisierter Streifenbildung begann der JTWC , Hinweise zu erteilen , und wies ihm die Bezeichnung 12W zu .	0.39
the maxillae still " grip " the " food " while the mandibles " bite " it .	die Oberkiefer " greifen " noch die " Nahrung " , während die Mandibeln sie " beißen " .	die Oberkiefer " greifen " immer noch nach dem " Futter " , während die Unterkiefer es " beißen " .	0.29
they could not , however , prevent around six hundred Turkish reinforcements reaching the redoubt .	Sie konnten jedoch nicht verhindern , dass etwa sechshundert türkische Verstärkungen in Zweifel kommen .	Sie konnten jedoch nicht verhindern , dass etwa sechshundert türkische Verstärkungen die Redoute erreichten .	0.20
in the pits , the pits crews scuffled , but it was quickly broken up .	in den Gruben krümmten die Gruben , aber es wurde schnell zerbrochen .	in der Box beschwerten sich die Boxencrews , aber es wurde schnell aufgelöst .	0.43
dell 'Utri 's lawyer , Enrico Trantino , dismissed Giuffrè 's allegations as an " anthology of hearsay " .	dell ' Utris Anwalt Enrico Trantino wies Giuffrés Behauptungen als " Anthologie des Hörens " zurück .	der Anwalt von Dell ' Utri , Enrico Trantino , wies die Anschuldigungen von Giuffrè als " Anthologie des Hörensagens " zurück .	0.52
the General meets more regularly with smaller councils composed of just the provincials .	der General trifft sich regelmäßig mit kleineren Räten , die sich nur aus den Provinzialen zusammensetzen .	der General trifft sich regelmäßiger mit kleineren Räten , die nur aus Kleinstädtern bestehen .	0.33
throughout the whole ordeal Loki regards humans as mere playthings for his pranks .	während der ganzen Tortur betrachtet Loki den Menschen als bloße Spielsachen für seine Streiche .	während der ganzen Tortur betrachtet Loki den Menschen als bloßes Spielzeug für seine Streiche .	0.13
it lies between latitudes 42 ° and 43 ° N , and longitudes 20 ° and 22 ° E .	es liegt zwischen Breiten 42 ° und 43 ° N , und Längen 20 ° und 22 ° E .	es liegt zwischen 42 ° und 43 ° nördlicher Breite und 20 ° und 22 ° östlicher Länge .	0.32
squire , Latty R. Encyclopedia of Learning and Memory .	Squire , Latty R. Encyclopedia of Learning and Memory .	Gutsherr , Latty R. Enzyklopädie des Lernens und des Gedächtnisses .	0.64
in November 1941 , Travlos crouched under a blanket in his apartment closet listening to banned BBC radio broadcasts .	im November 1941 kauerte Travlos unter einer Decke in seinem Kleiderschrank und hörte verbotene BBC-Radiosendungen .	im November 1941 hockte Travlos unter einer Decke in seinem Apartmentschrank und hörte verbotene BBC-Radiosendungen .	0.12
it covers Cheswick and Springdale boroughs and Harmar and Springdale townships in Allegheny County , Pennsylvania .	es umfasst Cheswick und Springdale Boroughs und Harmar und Springdale Townships in Allegheny County , Pennsylvania .	es deckt die Bezirke Cheswick und Springdale sowie die Townships Harmar und Springdale in Allegheny County , Pennsylvania , ab .	0.38
